https://hospitalnavigation.netlify.app/start/?start=5th_Floor_Parking_Garage_Entrance,5th_Floor_Parking_Garage_Entrance.png,5th Floor Parking Garage Entrance
https://hospitalnavigation.netlify.app/start/?start=4th_Floor_Parking_Garage_Entrance,4th_Floor_Parking_Garage_Entrance.png,4th Floor Parking Garage Entrance
https://hospitalnavigation.netlify.app/start/?start=3rd_Floor_Parking_Garage_Entrance,3rd_Floor_Parking_Garage_Entrance.png,3rd Floor Parking Garage Entrance
https://hospitalnavigation.netlify.app/start/?start=4th_Floor_Parking_Garage_Entrance,4th_Floor_Parking_Garage_Entrance.png,2nd Floor Parking Garage Entrance
https://hospitalnavigation.netlify.app/start/?start=2nd_Floor_Parking_Garage_Entrance,2nd_Floor_Parking_Garage_Entrance.png,3rd Floor Wing C Intersection Help Desk
https://hospitalnavigation.netlify.app/start/?start=Rose_St_Entrance,Rose_St_Entrance.png,Rose St Entrance
https://hospitalnavigation.netlify.app/start/?start=UHS_Entrance,UHS_Entrance.png,UHS Entrance
https://hospitalnavigation.netlify.app/start/?start=1st_Floor_Parking_Garage_Entrance,1st_Floor_Parking_Garage_Entrance.png,1st Floor Parking Garage Entrance
https://hospitalnavigation.netlify.app/start/?start=1st_Floor_Wing_D_Info_Desk,1st_Floor_Wing_D_Info_Desk.png,1st Floor Wing D Info Desk
https://hospitalnavigation.netlify.app/start/?start=1st_Floor_Wing_D_South_Limestone_Entrance,1st_Floor_Wing_D_South_Limestone_Entrance.png,1st Floor Wing D South Limestone Entrance
https://hospitalnavigation.netlify.app/start/?start=1st_Floor_Wing_D_General_Surgery_Entrance,1st_Floor_Wing_D_General_Surgery_Entrance.png,1st Floor Wing D General Surgery Entrance
https://hospitalnavigation.netlify.app/start/?start=1st_Floor_Wing_D_North_Parking_Entrance,1st_Floor_Wing_D_North_Parking_Entrance.png,1st Floor Wing D North Parking Entrance
https://hospitalnavigation.netlify.app/start/?start=UHS_Bridge_Entrance,UHS_Bridge_Entrance.png,UHS Bridge Entrance
